;id;created_at;username;verified;location;following;followers;total_tweets;favorite_count;retweet_count;hashtags;mentions;text
20;1518009079884664832;2022-04-23 23:29:02+00:00;thewebbix;False;Lakeland, FL;31262;31656;225675;0;36;[{'text': 'BlueVoices', 'indices': [94, 105]}, {'text': 'Rabbithole', 'indices': [107, 118]}];[{'screen_name': 'erosen1', 'name': 'Eric Rosen', 'id': 282617380, 'id_str': '282617380', 'indices': [3, 11]}];"Brett Kavanaugh
Donald Trump
Matt Gaetz
Al Franken

Which one doesn’t belong?  

#BlueVoices 
#Rabbithole"
21;1518008865396498432;2022-04-23 23:28:11+00:00;tshwangq;False;;3595;392;1642;0;0;[];[{'screen_name': 'rabbithole_gg', 'name': 'RabbitHole', 'id': 1254192452522696705, 'id_str': '1254192452522696705', 'indices': [0, 14]}];@rabbithole_gg tokens will replace fiat,  .dao will replace .gov
22;1518008856454090757;2022-04-23 23:28:09+00:00;RuthownedbyGray;False;South Florida, USA since 1973;15634;14807;23569;0;22;[];[{'screen_name': 'RuthownedbyGray', 'name': 'Ruth', 'id': 1258209108651581441, 'id_str': '1258209108651581441', 'indices': [3, 19]}];I wonder why there is an officer behind the prayer giver? Could it be because he is a POC and might need protection… https://t.co/ztJujad7f9
23;1518008798966956032;2022-04-23 23:27:55+00:00;RuthownedbyGray;False;South Florida, USA since 1973;15634;14807;23569;25;22;[];[];I wonder why there is an officer behind the prayer giver? Could it be because he is a POC and might need protection… https://t.co/ztJujad7f9
24;1518008615571017728;2022-04-23 23:27:11+00:00;marla_vous;False;New York, USA;3416;7092;45266;0;36;[{'text': 'BlueVoices', 'indices': [94, 105]}, {'text': 'Rabbithole', 'indices': [107, 118]}];[{'screen_name': 'erosen1', 'name': 'Eric Rosen', 'id': 282617380, 'id_str': '282617380', 'indices': [3, 11]}];"Brett Kavanaugh
Donald Trump
Matt Gaetz
Al Franken

Which one doesn’t belong?  

#BlueVoices 
#Rabbithole"
25;1518007958885441539;2022-04-23 23:24:35+00:00;__headspaceAI;False;In your head.;29;87;23576;1;0;[{'text': 'Propaganda', 'indices': [46, 57]}];[];"Wake up and smell the OPs. Beware the Russian #Propaganda 

https://t.co/5UobXPBhuj 

Noah Gragson, Jason Kidd, Yan… https://t.co/GTnn1l1HVc"
26;1518007706803703810;2022-04-23 23:23:35+00:00;rn_wing;False;Florida, USA;19275;19114;40182;0;36;[{'text': 'BlueVoices', 'indices': [94, 105]}, {'text': 'Rabbithole', 'indices': [107, 118]}];[{'screen_name': 'erosen1', 'name': 'Eric Rosen', 'id': 282617380, 'id_str': '282617380', 'indices': [3, 11]}];"Brett Kavanaugh
Donald Trump
Matt Gaetz
Al Franken

Which one doesn’t belong?  

#BlueVoices 
#Rabbithole"
27;1518007037166178306;2022-04-23 23:20:55+00:00;keffberrystrien;False;United States;356;448;118842;0;61;[];[{'screen_name': 'AmericaFightHim', 'name': 'Peace and love', 'id': 351346086, 'id_str': '351346086', 'indices': [3, 19]}];Evil is evil. You can try to spruce it up with religion, decorate it in propaganda, adorn it with self righteousnes… https://t.co/FJnXabx5Of
28;1518006514535043073;2022-04-23 23:18:50+00:00;kamimagic;False;;11020;16952;29384;0;36;[{'text': 'BlueVoices', 'indices': [94, 105]}, {'text': 'Rabbithole', 'indices': [107, 118]}];[{'screen_name': 'erosen1', 'name': 'Eric Rosen', 'id': 282617380, 'id_str': '282617380', 'indices': [3, 11]}];"Brett Kavanaugh
Donald Trump
Matt Gaetz
Al Franken

Which one doesn’t belong?  

#BlueVoices 
#Rabbithole"
29;1518006284334813185;2022-04-23 23:17:56+00:00;queensamiki;False;Norway;68;7;85;2;0;[];[];So while learning Japanese, I am just broadening my rabbithole to the japanese Nijisanji 👌😂 https://t.co/dG3f2AiK8z
30;1518005752732000256;2022-04-23 23:15:49+00:00;myerssinky;False;jacksonville fl;281;626;103227;0;36;[{'text': 'BlueVoices', 'indices': [94, 105]}, {'text': 'Rabbithole', 'indices': [107, 118]}];[{'screen_name': 'erosen1', 'name': 'Eric Rosen', 'id': 282617380, 'id_str': '282617380', 'indices': [3, 11]}];"Brett Kavanaugh
Donald Trump
Matt Gaetz
Al Franken

Which one doesn’t belong?  

#BlueVoices 
#Rabbithole"
31;1518005187750899713;2022-04-23 23:13:34+00:00;jmrbux2;False;Illinois then Arizona, now TX!;7634;7038;222021;0;72;[{'text': 'StaceyAbrams4Gov', 'indices': [21, 38]}];[{'screen_name': 'Catmandoodlebug', 'name': '#VoteBlue Catmandu^..^,~', 'id': 1412039308731727873, 'id_str': '1412039308731727873', 'indices': [3, 19]}];#StaceyAbrams4Gov ... Having a Candidate like Stacey Abrams, someone who cares enough to ask what matters to us, ma… https://t.co/rsXmSjHYIc
32;1518005099624374272;2022-04-23 23:13:13+00:00;daisysdogdaddy;False;;2297;880;11652;0;23;[];[{'screen_name': 'AmericaFightHim', 'name': 'Peace and love', 'id': 351346086, 'id_str': '351346086', 'indices': [3, 19]}];"I remember hearing the same magical thinking when Mueller was ""investigating"" that I hear about Merrick Garland and… https://t.co/Peq8ys7JgF"
33;1518004915196542978;2022-04-23 23:12:29+00:00;Mcatnip;False;;17606;16534;48871;0;72;[{'text': 'StaceyAbrams4Gov', 'indices': [21, 38]}];[{'screen_name': 'Catmandoodlebug', 'name': '#VoteBlue Catmandu^..^,~', 'id': 1412039308731727873, 'id_str': '1412039308731727873', 'indices': [3, 19]}];#StaceyAbrams4Gov ... Having a Candidate like Stacey Abrams, someone who cares enough to ask what matters to us, ma… https://t.co/rsXmSjHYIc
